Link,EN_title,PENGLISH_title,PERSIAN_title,Content_1,Content_2,Score,Year,Genre,Time
https://www.imvbox.com/watch-persian-movie-iranian-movies/good-bad-corney-secret-army,"The Good, The Bad, The Corny 2","Khoob, Bad, Jelf 2",خوب بد جلف: ارتش سری,گروهی ضد انقلابی به ریاست دکتر مدنی(فرهاد آییش) و زیر نظر دونالد ترامپ ماموریتی به فربد (حامد کمیلی) در ایران به عنوان گروه فیلمبرداری به ایران بفرستد . در آنجا پژمان جمشیدی و سام درخشانی به عنوان بازیگر های فیلم ارتش سری انتخاب می شوند. فربد سعی در انجام عملیات است اما پژمان و سام تقریبا همه چی را به هم می ریزند و,"A revolutionary group led by Dr. Madani and under the supervision of Donald Trump will send the secret agent Farbod to a mission in Iran as a film crew. There, Pejman Jamshidi and Sam Derakhshani are selected as actors in the Secret Army movie. Farbod tries to carry out the mission, but Pejman and Sam destroy almost everything.",4.1,2020,Comedy,106
https://www.imvbox.com/watch-persian-movie-iranian-movies/white-bridge-pole-sefid,White Bridge,Pole Sefid,پل سفید,داستان درباره زندگی دانش آموزی است که دچار حادثه شده و شرایط تحصیل او در مدرسه دستخوش تغییراتی می شود,"Bahareh gets disabled in an accident just a few months after the start of the school year. According to the Ministry of Education, she must continue her education in special school. Bahareh refuses to go to special school and tries to convince her former school to accept her. However, existing laws prevent the return of Bahareh to the regular school and she remains suspended. Bahareh and her mother fight to solve this problem.",4,2017,Drama,77
https://www.imvbox.com/watch-persian-movie-iranian-movies/tale-of-the-sea-hekayat-e-darya,Tale of the Sea,Hekayate Darya,حکایت دریا,"فیلم قصه‌ی آدم‌هایی را روایت می‌کند، که پس از مدتی دور بودن، دوباره به هم نزدیک می‌شوند. اما آیا این نزدیکی می‌تواند دوری گذشته را جبران کند؟!","Taher Mohebi is a well-known writer who, after witnessing a violent murder, breaks down and spends three years in a mental institution. After release he is told that things are just as they were before, but his relentless hallucinations make him want to return to the institution.",4.7,2018,Drama,92
https://www.imvbox.com/watch-persian-movie-iranian-movies/weightlessness,Weightless,Bivazni,بی وزنی,"فیلم قصه ای زنانه دارد و در یک شب عروسی و روز بعد از آن روایت می شود که داماد مراسم را ترک کرده است. در این بین؛ عروس ، مادر داماد ، خواهر داماد و معشوقه داماد با یکدیگر دچار چالش می شوند و فیلم با روایت غیرخطی ، روابط هر کدام از این زن ها با داماد را افشا می کند","The morning after a wedding ceremony the groom disappears, not seen since the night before. The bride, the groom's mother, the groom's sister, and his lover, who came to the wedding uninvited, are looking for the reason for his disappearance. The next day, the women begin blaming each other as their relationships are put to the test.",3.5,2019,Drama,97
https://www.imvbox.com/watch-persian-movie-iranian-movies/another-house,Another One's House,Khane Digari,خانه دیگری,"این فیلم داستان زندگی «مرجان» را روایت می‌کند که می‌بایست ظرف ۱۰ روز، پولی را برای پدرش تهیه کند. او در طی این مسیر با موانعی روبرو می‌شود که زندگی زناشویی‌اش را نیز تحت‌الشعاع قرار می‌دهد.","A poor family,in undated with legal issues and an upcoming wedding, cares for their terminally ill landlord in exchange for rent free housing.",4.5,2017,Drama,86
https://www.imvbox.com/watch-persian-movie-iranian-movies/tsunami-sunami,Tsunami,Sunami,سونامی,"در آخرین اردوی تیم ملی تکواندو سه تن از بهترین بازیکنان تیم در دانمارک پناهنده شده و به ایران بازنگشتند. این فرصتی است که خسروی، سرمربی قدیمی و کهنه‌کار بعد از سال‌ها بازگردد و کار نیمه‌تمامش را به پایان برساند. دشوارترین انتخاب او اما بین بهداد مقیمی نفر اول دنیا و تنها بازمانده تیم مرتضی نژادی، شاگرد قدیمی‌اش استدر آخرین اردوی تیم ملی تکواندو، سرمربی و سه تن از بهترین بازیکنان تیم در دانمارک پناهنده شده و به ایران بازنگشته‌اند. این فرصتی است که خسروی، سرمربی قدیمی و کهنه‌کار بعد از سال‌ها بازگردد و کار نیمه تمامش را به پایان برساند. دشوارترین انتخاب او اما بین بهداد مقیمی، نفر اول دنیا و تنها بازمانده تیم و مرتضی نژادی، شاگرد قدیمی‌اش است...","When three of the Teakwood national team members do not return back home and apply for asylum in Denmark, the old coach is back in the game to settle his unfinished business in his sports career.Iranian taekwando, Morteza Nezhadi accepts to be defeated in the Olympics 2002 due to some political reasons and then he loses everything in his personal and professional life. After eight years, he is called back for another attempt in the national team, but he must face a young stubborn world champion called Behdad Moghimi also known as Tsunami. But there is a turmoil in his personal life too when it comes to his partner, a girl basketball player who is not accepted in Iran’s national team for her Afghan decent…",5.1,2019,Adventure,98
https://www.imvbox.com/watch-persian-movie-iranian-movies/sooranjan,Colchicum,Sorenjan,سورنجان,"سه هم دانشگاهی که حالا ازدواج کرده‌اند، پس از سال‌ها در خانه‌ای قدیمی و مرموز با هم ملاقات می‌کنند. خانه‌ای که در آن رازهایی برملا می‌شود.","Four college classmates meet after years in a mysterious home, they are married now. The old house reveals the secrets of the past...",5.8,2019,Mystery,85
https://www.imvbox.com/watch-persian-movie-iranian-movies/the-gold-tala,The Gold,Tala,طلا,"منصور نقش اصلی فیلم طلا، با هدف راه‌اندازی یک رستوران و عبور از دوران بی‌پولی، درگیر مشکلات نا‌خواسته دریا و طلا دختر برادرش می‌شود که...راهی برای پولدار شدن، خسته از نگاه تحقیرآمیز دور و بری ها، احساس تباهی از کار کردن برای دیگران، این ها دلایلی است که سه نفر را بهم وصل کرده تا یک کار و کاسبی راه بیندازند.","Few youngsters decide to with the help of each other start a restaurant business. But meanwhile the father of one of them dies and a big sum of money is disappear too which begin their troubles...Some young people are trying to establish a new restaurant. In the meantime, the father of one of them dies, and a considerable amount of money is lost.",5.3,2019,Drama,81
https://www.imvbox.com/watch-persian-movie-iranian-movies/ajdar-ajdar,Azhdar,Ajdar,اژدر,مردی فقیر و تنگ دست به یکباره قدرت و توانمندی منحصر به فردی پیدا می کند.,"Azhdar after what happens to him at work, suddenly realizes that he has a unique power and ability that can be used in his dreams and dreams wherever he wants due to this new ability. He wants to go out and take revenge on anyone he wants or kill him, and finally, after waking up, watch it happen.",3.6,2019,Comedy,85
https://www.imvbox.com/watch-persian-movie-iranian-movies/the-last-fist-moshte-akhar,The Last Stroke,Moshte Akhar,مشت آخر,داستان پیر مردی است که از سالهای دور تا کنون در کاراته تبحر بسیار بالایی دارد ولی جهت امرار معاش تظاهر به فرتوتی می‌کند و در خیابان‌ها با دستیارش به صورت صوری معرکه دعوا به راه می‌اندازند و مردم جهت کمک سعی در جدا کردن آنها می‌کنند که در این میان دستیارش از شلوغی فضا کمک گرفته و جیب مردم را می‌زند و …,The story of an old man who is very good in Karate but pretends to be weak and fragile. By this way he and his friend make quarrels and steal the people. But one day he meets a person who is very familiar to him...,3.9,2019,Comedy,98
https://www.imvbox.com/watch-persian-movie-iranian-movies/goodbye-the-shirazian-girl-khoda-hafez-dokhter-shirazi,Goodbye Shirazi Girl,Khoda hafez Dokhter Shirazi,خداحافظ دختر شیرازی,"یکی از شیراز، یکی از آبادان، هر ۲ در تهران! مجبورند فعلن با هم سر کنند تا محمودِ نارفیق را پیدا کنند",Based on Neil Simon's Goodbye Girl it is a romantic story Nasim who is from Abadan and Shabnam a widow who lives with her girl. When they both rent the same house they have to deal with each other until find a solution...,6.2,2018,Drama,86
https://www.imvbox.com/watch-persian-movie-iranian-movies/my-second-year-at-uni-sale-dovome-danesh-kadeye-man,My Second Year at Uni,Sale Dovome Daneshkadeye Man,سال دوم دانشکده من,,"Mahtab and Ava are second-year students at Uni and along with a number of their classmates, they travel from Tehran to Isfahan for a tour. The film follows the adventures of this trip.",8,2017,Drama,90
https://www.imvbox.com/watch-persian-movie-iranian-movies/reversed-makoos,Reversed,Makoos,معکوس,"فرزندان دو دوست قدیمی قبل از انقلاب که یکی فعال سیاسی و دیگری مکانیک است، وارد مسابقات زیرزمینی اتومبیل‌رانی می‌شونددو دوست قدیمی قبل از انقلاب، یکی فعال سیاسی و یکی مکانیک. فرزند آن‌ها وارد مسابقات زیرزمینی اتومبیل‌رانی می‌شوند.","The children of two old friends enter an illegal race...Two old friends before the revolution, one political activist and the other is a mechanic. Their children enter the underground car racing.",5,2019,Drama,93
https://www.imvbox.com/watch-persian-movie-iranian-movies/lost-paradise-behesht-e-gomshodeh,Lost Paradise,Beheshte Gomshodeh,بهشت گمشده,"عیسی برای یافتن راه نجات آیدا، سفری را در قصه ای پرماجرا آغاز می کندعیسی برای یافتن راه نجات آیدا، سفری را در قصه‌ای پرماجرا آغاز می کند.","Jesus embarks on a journey into an adventurous tale to find the way to Aida...Issa needs to find a way to save Ida, so he goes to a adventure journey through a story",6.6,2018,Drama,75
https://www.imvbox.com/watch-persian-movie-iranian-movies/obesity-chaghi,Obesity,Chaghi,چاقی,"امیر که صداگذار مشهور سینما است، با رامین که کارگردانی مشهور است رابطه دوستی قدیمی دارد. رامین قصد ازدواج با یکی از کارکنان دفترش را دارد. در این بین پس از یک برخورد ساده و پیش آمدن سوء تفاهم‌هایی بین امیر و شادی، کم‌کم بین آنها علاقه ای شکل می‌گیرد و این در حالی است که امیر صاحب همسر و فرزند است. امیر خود را درگیر ماجرایی عاطفی می‌بیند که حالا باید بین عشق و وجدان یکی را انتخاب کند…","Amir is a film sound editor who has a peaceful and good life along with his wife, Bahar, and his daughter, Gandom. He has an older friend called Ramin, a film director, who is about to marry a girl much younger than himself. This marriage profoundly affects Amir's life.",5.3,2015,Drama,91
https://www.imvbox.com/watch-persian-movie-iranian-movies/labyrinth-hezartoo,Labyrinth,Hezartoo,هزارتو,"زندگی یه هزارتوی پیچیده‌اس، همه آدما دنبال راهی برای فرار هستند اما فقط یه مسیر خروج وجود داره و تا موقعی که به مرکزش نَرسی متوجه‌اش نمی‌شی!بردیا نیست...گم شده.","Negar and Amirali are going to immigrate, but at the very last moment, they face a critical situation: their son, Bardiya, goes missing. Now it is time to unfold all the family secrets...",4.6,2019,Drama,78
https://www.imvbox.com/watch-persian-movie-iranian-movies/miami-milionaire-milyounere-miami,Miami's Millionaire,Milyounere miami,میلیونر میامی,دن کیشوت پس از فراغت از تدارک مقدمات کار نخواست بیش از این در اجرای نقشه خویش درنگ کند«دن کیشوت پس از فراغت از تدارک مقدمات کار نخواست بیش از این در اجرای نقشه خویش درنگ کند.»,"Kasra moves back to his own country after years with a strange plan to build his future. He finds Mohsen, a go-between guy to help him, and meets Mahsa; and old love who has a thirst to move out of country. They find Reza as the only who could make the plan happens. But something very strange push them to change their plan which concludes completely different ending.Don Quixote, after getting free from the work preparations, unexpectedly delays activating his plan.",4.3,2017,Comedy,84
https://www.imvbox.com/watch-persian-movie-iranian-movies/darkhongah-darkhoongah,Darkhongah,Darkhoongah,درخونگاه,"رضا پس از هشت سال کار کردن در ژاپن، به محله شان به نام درخونگاه بر می گردد...","Reza returns from Japan to start a new business using his savings in the past 8 years, but his family members hide something from him that could damage his plans...",5.8,2019,Drama,102
https://www.imvbox.com/watch-persian-movie-iranian-movies/dance-with-me-jahan,Dance with Me,Jahan Ba Man Beraghs,جهان با من برقص,دوستان جهانگیر برای آخرین تولد او دورهم جمع شده‌اند. این موقعیت موجب می‌شود آن‌ها درباره زندگی و خودشان فکر کنند.,A reunion of old friends for Jahangir's birthday when everyone is informed of his fatal illness - An inevitable confrontation with the current situation and the past - Series of the tensions and the reconciliations leading to a road to the life - however death is knocking on the door...,6.6,2019,Drama,92
https://www.imvbox.com/watch-persian-movie-iranian-movies/they-aanha,They,Aanha,آن‌ها,آن‌ها می‌خواهند به گونه‌ای زندگی کنند که شبیه دیگران نباشند.,They want to live in a way that is not like others...,5.7,2016,Drama,100
https://www.imvbox.com/watch-persian-movie-iranian-movies/the-23-people-23-nafar,The 23,23 Nafar,بیست و سه نفر,روایت گروهی از رزمندگان نوجوان ایرانی است که در جریان جنگ ایران و عراق در سال ۱۳۶۱ به اسارت نیروهای عراقی درآمدندروایت گروهی از رزمندگان نوجوان ایرانی است که در جریان جنگ ایران و عراق در سال 1361 به اسارت نیروهای عراقی درآمدند.,The story of 23 teenager warriors who were held captive by Iraqi army...It is the story of a group of young Iranian soldiers who are captivated by Iraqi troops in the midst of Iran-Iraq war in 1982.,6.6,2019,War,97
https://www.imvbox.com/watch-persian-movie-iranian-movies/life-again-dobare-zendegi,Life Again,Dobare Zendegi,دوباره زندگی,مرد و زن میانسالی قصد رفتن به خانه‌ سالمندان را دارند اما دست روزگار آن‌ها را مجبور به ادامه‌ زندگی در کنار یکدیگر می‌کند,"An elderly couple whose son is living abroad live a quiet lonely life. The old man has been trying for some time to convince his wife to move into a care home for better care and attention. The woman is against the idea and says they can manage alone. In the end, their conditions and inability to do some things forces the wife to agree hopelessly. But fate forces them to continue life...",7.6,2018,Drama,74
https://www.imvbox.com/watch-persian-movie-iranian-movies/the-home-ev,The Home,Ev,ائو,"ماجرای این فیلم حول یک وصیت‌نامه می‌چرخد. مردی از دنیا رفته و همه دور جسد او جمع شده‌اند اما این جسد از چشم تماشاگر دور نگه داشته می‌شود. متوفی وصیت کرده که بعد از مرگ، جسد او را در اختیار دانشکده پزشکی برای استفاده علمی قرار دهند اما دخترش شدیداً مخالف است.","An old man has died and has left a will requesting his relatives including his only child, Sayeh, to give his body to the autopsy room of the city’s medical sciences university. Sayeh, as his only child and heir disagrees with her late father’s demand and refuses to deliver the body to the university. Different people try to convince her to do what her father requested in his legal will, but…The story of a girl who returns to her father’s house after a few years of marriage; and upon her return, she faces her father’s unusual will.",6.9,2017,Drama,73
https://www.imvbox.com/watch-persian-movie-iranian-movies/under-the-supervision,Under the Supervision,Zire Nazar,زیر نظر,"محسن پس از خرید به خانه برمیگردد و متوجه می شود مبلی که امید بر روی آن نشسته سوراخ شده، محسن مقصر این اتفاق را امید می داند. مهشید، همسر محسن که به این مبل علاقه خاصی دارد، در حال برگشتن از سفر است و...",Mohsen returns home after shopping and realizes that the furniture on which Omid is sitting is perforated and blames Omid...,4.8,2019,Comedy,83
https://www.imvbox.com/watch-persian-movie-iranian-movies/invasion-hojoom,Invasion,Hojoom,هجوم,در یک ورزشگاه قتلی رخ داده و مظنون نیز مشخص است. چند مامور پلیس مشغول بررسی پرونده هستند و باید با توجه به سرنخ‌ها سیر وقوع قتل را پیدا کنند.,"Someone has been murdered and police officers are investigating the crime scene in a stadium. They have arrested a suspect. However, it is very complicated since the friends of the victim aren’t very cooperative…This film is about a murder that happens in a stadium. The police were working on this case and find some clues when they come to the stadium.",6.3,2017,Crime,97
https://www.imvbox.com/watch-persian-movie-iranian-movies/ako-ako,Ako,Ako,آکو,آکو نوجوانی کرد برای باربری به بازار تهران آمده‌است. او مسئولیت حمل یک بار قیمتی را بر عهده می‌گیرد. دزدیده شدن این بار موجب وقوع حوادث و پیامدهایی برای آکو می‌گردد.,"The movie narrates the story of Ako, a teenage porter working in Tehran’s Grand Bazaar, who has a secret and does not want anyone to know it...",4.9,2018,Drama,79
https://www.imvbox.com/watch-persian-movie-iranian-movies/blade-and-termeh-tigh-o-termeh,Blade and Termeh,Tigh o Termeh,تیغ و ترمه,تیغ‌ و ترمه یک درام ملتهب اجتماعی زنانه استاین فیلم یک درام اجتماعی است.,"Termeh is a 26 years old girl who lives with her uncle. When her mother comes from abroad, something happens and a secret is revealed...This is an ablaze social drama about women.",4.5,2018,Drama,87
https://www.imvbox.com/watch-persian-movie-iranian-movies/vantafe-vantafe2020,Vantafe,Vantafe,وانتافه,«اگه اون سکه طلای لعنتی تو چاه نمی‌افتاد ما این همه بدبختی نداشتیم!»,If the damned gold wouldn't go down the drain we wouldn't be in this mess...,8,2020,Comedy,85
https://www.imvbox.com/watch-persian-movie-iranian-movies/misunderstanding-sooe-tafahom,Misunderstanding,Sooe Tafahom,سوء تفاهم,"تعدای از دانشجویان سینما، دختر ثروتمندی را به امید بازیگر شدن، گروگان می‌گیرند، اما به تدریج، ماجرای گروگانگیری و ساخت فیلم، پیچیده می‌شود تا جایی که دیگر، تشخیص واقعیات و خیال ناممکن جلوه می‌کند.","A group of students in cinematography, take a rich girl who has the ambition of becoming an actress, in hostage. As the movie goes on, the story gets more and more complicated until it reaches to the point where discerning reality from illusion seems almost impossible for the audience...A group of students in cinematography, take a rich girl who has the ambition of becoming an actress, in hostage. As the movie goes on, the story gets more and more complicated until it reaches to the point where discerning reality from illusion seems almost impossible for the audience.",4.7,2018,Comedy,90
https://www.imvbox.com/watch-persian-movie-iranian-movies/astigmatism-astigmat,Astigmatism,Astigmat,آستیگمات,مردی پس از چند سال دوباره به خانه و خانواده خود مراجعه می‌کند. در زمان نبود او خانواده کمی احساس آرامش می‌کردند. حال با آمدن مرد دوباره احساس تردید همه خانواده را درگیر می‌کند.,"A man has returned after a few years of separation from his family and wants to take back his house from his wife, son, daughter-in-law, and grandson. His son, who farms leeches in the basement and hopes to get rich by doing that, tries to reconcile his father with his mother to stay at home, but his mother intends to marry someone else...A man returns to his family after many years. His family was at peace during his absence but feel threatened once more upon his return.",5,2017,Drama,82
https://www.imvbox.com/watch-persian-movie-iranian-movies/new-moon-hotel,New Moon Hotel,Mehmankhane Mahe No,مهمانخانه ماه نو,"نوشین مادری است که با دختر خود زندگی آرامی دارد، اما سفر مردی به ایران زندگی آن‌ ها را به هم می‌ ریزد.","Noushin is a mother living a peaceful life with her daughter, but a man's trip to Iran changes their life dramatically...",4.6,2019,Drama,89
https://www.imvbox.com/watch-persian-movie-iranian-movies/the-skier-ski-baz,The Skier,Ski Baz,اسکی باز,"بز کوهی که به روستاه پناه آورده، قرار است قربانى يک رسم محلى شود، جولى پسربچه‌اى است كه تا عصر، قبل از مسابقه اسكى، فرصت دارد او را نجات دهد","A wild goat who has taken shelter in a village is to be sacrificed for the occasion of a traditional ceremony, however, Jolie; the little boy of the story decides to save the goat before his ski match in the afternoon...",6.9,2018,Drama,73
https://www.imvbox.com/watch-persian-movie-iranian-movies/the-lovely-scumbags-ashghalhaye-doost-dashtani,The Lovely Trash,Ashghalhaye Doost Dashtani,آشغال‌های دوست داشتنی,"فیلم در مورد وقایع خاص انتخابات سال ۸۸ است. داستان آشغال‌های دوست‌داشتنی در خانه یک پیرزن که با دخترخالهٔ میانسالش (سیما) زندگی می‌کند، می‌گذرد. در یکی از روزهای بعد از انتخابات که تجمع مخالفان انتخابات و معترضان در خیابان‌های تهران برقرار است عده‌ای از تجمع‌کنندگان فراری از دست نیروهای امنیتی وارد خانه پیرزن می‌شوند و در آنجا مخفی می‌شوند. بعد از خروج از خانه متوجه علامتی بر روی درِ خانه پیرزن می‌شوند و طبق شایعه‌های آن روزها به پیرزن خبر می‌دهند که آنها احتمالاً در روزهای آینده به خانه او مراجعه خواهند کرد و آن‌جا را می‌گردند پس به پیرزن هشدار می‌دهند که اگر در خانه‌اش چیز مشکوک و مسئله‌سازی دارد آن را از خانه خارج کند تا مشکلی برایش به وجود نیاید و داستان تازه از اینجا شروع می‌شود.",A family that has one night to solve their mother’s problems...,6.9,2012,Drama,86
https://www.imvbox.com/watch-persian-movie-iranian-movies/minstrel,Minstrel,motreb,مطرب,"ابراهیم خوشلحن خوانندهٔ کاباره ای است که پیش از اوج گرفتن با وقوع انقلاب ۱۳۵۷ همچون این طیف خوانندهها از صحنه کنار میرود اما چون به اندازهٔ کافی از شهرت و اقبال نیز برخوردار نبودهاست، نمیتواند خوانندهٔ لس آنجلسی شود و در نهایت به خوانندهٔ مراسم تبدیل میشود. ابراهیم سالها در حسرت اجرای دوباره روی صحنه میماند تا اینکه یک روز...","An Iranian family who goes to Istanbul, Turkey. Ibrahim is a nightclub singer who, like other singers of that era, is being removed from the scene with the 1979 revolution. But since Ibrahim was not well-known at the time, he cannot perform as a famous singer...",4.5,2019,Drama,104
https://www.imvbox.com/watch-persian-movie-iranian-movies/the-beautiful-jinni-jene-ziba,Beautiful Jinn,Jene Ziba,جن زیبا,"یدالله در یک تیمارستان کار می‌کند و به تازگی بخاطر فوت همسرش تنها شده. در همین حال، دلارام که در تیمارستان بستری است برای دیدن فرزندش از یدالله کمک می‌خواهد و...","Yadollah who has been hospitalized in an asylum, hears and sees scary sounds and ghosts in his big house at nights until...Yadollah who is working in a mental hospital has lost his wife recently and lives alone in his old house. One day he meets a patient Delaram who wants to see her only child and decides to help her.",3.9,2019,Drama,79
https://www.imvbox.com/watch-persian-movie-iranian-movies/devils-daughter,Devil's Daughter,Dokhtare Sheytan,دختر شیطان,دختر شیطان داستان یکی از بچه های ابلیس است که نمیخواهد راه پدرش را ادامه دهد . خداوند برای پذیرش توبه اش شرط می گذارد تا او به پاک ترین آدم زمین سجده کند . دختر شیطان وارد زمین می شود و بدنبال یک آدم بی گناه می گردد,"Devil's daughter is the story of one of devil's children who wants to repent, and her circumstance for repenting is to kneel before an innocent person. Subsequently, the devil's daughter heads to the earth in search of an innocent person.",2.6,2018,Drama,89
https://www.imvbox.com/watch-persian-movie-iranian-movies/the-main-idea-ideh-asli,The Main Idea,Ideh Asli,ایده اصلی,"ایران و اسپانیا برای راه اندازی یک پروژه بزرگ در جزیره هندورابی در جنوب ایران به توافق رسیده اند، شرکت ها و افراد بسیاری به طمع برنده شدن در این مناقصه شرکت کرده اند","An important construction project for a resort is being signed between Iran and Spain (located in South of Iran - Hendorabi Island). Various companies are competing in an offer that’s up for grabs to decide the leading company for the project. The participating companies are eager to win and their hunger for success leads to complications along the way…Iran and Spain have come to an agreement on establishing a big project on Hendurabi Island. Due to their greed, many people and companies try to win this tender and ….",3.9,2018,Drama,94
